Name,Address,Type,Phone,Website,Indoor.play,Birthday,Camps,Parent.morning.night.out,Story_time,Drop.in.care,Classes,latitude,longitude
ADVENTURE AIR SPORTS,"2375 Cherry Rd Suite 101, Rock Hill, SC 29732",Adventure & Amusement Park,803.326.5867,https://rockhill.adventureairsports.com,1,1,NA,NA,NA,NA,NA,34.96958262,-80.99272835
Bounce Parties and Games,"_4310 Shipyard Blvd. Suite 101 Wilmington, NC 28403",Adventure & Amusement Park,910-769-5065,https://www.bounce-wilmington.com/about.html,1,1,NA,NA,NA,NA,NA,34.2000406,-77.88943568
Bounce the House,"514 N McPherson Church Rd, Fayetteville, NC 28303",Adventure & Amusement Park,(910) 491-0127,https://bouncethehousefayetteville.com,NA,1,NA,NA,NA,NA,NA,35.07571184,-78.95384469
DEFY Charlotte,"8116 University City Blvd, Charlotte, NC 28213",Adventure & Amusement Park,(704) 817-4660,https://defy.com/defy-charlotte/,NA,1,NA,NA,NA,NA,NA,35.29364593,-80.74765058
Epic Fun Park,"1400 Walter Reed Rd, Fayetteville, NC 28304",Adventure & Amusement Park,(910) 759-4744,https://epicfunpark.com,1,1,NA,NA,NA,NA,NA,35.03946878,-78.93759688
FearLess Adventure Park,"657 River Hwy, Mooresville, NC 28117",Adventure & Amusement Park,(980) 435-5000,https://www.fearlessadventurepark.com,1,1,NA,NA,NA,NA,NA,35.59620213,-80.87813911
Flip N Fly,"830 Inspiration Drive Wilmington, NC 28405",Adventure & Amusement Park,(910)679-5050,https://flipnfly.com,1,1,NA,NA,NA,NA,NA,34.2439449,-77.82993794
FOX-N-OTTER Adventure Escapes,"1800 Four Seasons Blvd Hendersonville, NC 28792",Adventure & Amusement Park,(828) 585-4302,https://escaperoomsasheville.com,NA,1,NA,NA,NA,NA,NA,35.33551652,-82.44691877
FOX-N-OTTER Adventure Escapes,"3 S Tunnel Road Asheville, NC 28805",Adventure & Amusement Park,(828) 585-4302,https://escaperoomsasheville.com,NA,1,NA,NA,NA,NA,NA,35.58334469,-82.52591681
FOX-N-OTTER Adventure Escapes,"3749 Sweeten Creek Rd Unit 2, Arden, NC 28704",Adventure & Amusement Park,(828) 585-4302,https://escaperoomsasheville.com,NA,1,NA,NA,NA,NA,NA,35.47345105,-82.5151045
FRANKIE'S PARK,"10621 Bryton Corporate Center Drive Huntersville, NC 28078",Adventure & Amusement Park,(704) 875-7888,https://frankies.com,1,1,NA,NA,NA,NA,NA,35.37295586,-80.82480838
FRANKIE'S PARK,"11190 Fun Park Drive Raleigh, NC 27617",Adventure & Amusement Park,(919) 433-7888,https://frankies.com,1,1,NA,NA,NA,NA,NA,35.91885328,-78.79563376
FunBox,"11025 Carolina Pl Pkwy Pineville, NC",Adventure & Amusement Park,(704) 762-1091,https://funbox.com,1,1,NA,NA,NA,NA,NA,35.0827482,-80.87961814
Galaxy Fun Park,"14460 Falls of Neuse Rd, Raleigh, NC 27614",Adventure & Amusement Park,919-584-4000,https://galaxyfunpark.com,1,1,NA,NA,NA,NA,NA,35.94574911,-78.54337021
JP's Jump Masters,"7005 Nexus Court Fayetteville, NC 28304",Adventure & Amusement Park,910-223-0200,https://jpsjumpmasters.com,NA,1,NA,NA,NA,NA,NA,35.0347281,-79.01508474
Jungle Rapids Family Fun Park,"5320 Oleander Drive Wilmington, NC 28403",Adventure & Amusement Park,910-791-0666,https://junglerapids.com,1,1,NA,NA,NA,NA,NA,34.20790994,-77.86371198
Launch Family Entertainment Asheville,24 Walden Drive Arden NC 28704,Adventure & Amusement Park,(828) 651-0280,https://launchfamilyentertainment.com/asheville/,1,1,1,NA,NA,NA,NA,35.4643283,-82.51874801
Main Event Fayetteville,"580 CROSS CREEK MALL, FAYETTEVILLE, NC 28303",Adventure & Amusement Park,(910) 552-1780,https://www.mainevent.com/locations/north-carolina/fayetteville/,1,1,NA,NA,NA,NA,NA,35.0724421,-78.9609386
Mr. Putty's Fun Park,"2333 Dam Rd, Tega Cay, SC 29708",Adventure & Amusement Park, (844) 677-8889,https://www.mrputtys.com,1,1,NA,NA,NA,NA,NA,35.04544366,-80.99115091
Planet Fun & Starz Grille Family Entertainment and Bowling Center,"349 Whiteville Road Shallotte, NC 28459",Adventure & Amusement Park,910 7752386,https://planetfuncenter.com,1,1,NA,NA,NA,NA,NA,33.97369189,-78.40042715
Putt-Putt Fun Center,"1340 N Church St Burlington, NC 27217",Adventure & Amusement Park,336-228-6217,https://puttputt.com/burlington-nc/,NA,1,NA,NA,NA,NA,NA,36.09746774,-79.41584519
Putt-Putt Fun Center,"1608 White Lake Dr Elizabethtown, NC 28337",Adventure & Amusement Park,910-862-4064,https://puttputt.com/elizabethtown-nc/,NA,1,NA,NA,NA,NA,NA,34.63611268,-78.48405153
Putt-Putt Fun Center,"2418 N Main St High Point, NC 27262",Adventure & Amusement Park,336-869-4273,https://puttputt.com/highpoint-nc/,NA,1,NA,NA,NA,NA,NA,35.9879852,-80.02609595
Putt-Putt Fun Center,"3311 Footbridge Ln Fayetteville, NC 28306",Adventure & Amusement Park,910-424-7888,https://puttputt.com/fayetteville-nc/,NA,1,NA,NA,NA,NA,NA,34.98054264,-78.97227952
Putt-Putt Fun Center,"533 7th Avenue Place SW Hickory, NC 28602",Adventure & Amusement Park,828-327-2316,https://puttputt.com/hickory-nc/,NA,1,NA,NA,NA,NA,NA,35.722209,-81.34762214
Surge Adventure Park,"2051 Griffith Road, Winston Salem, NC 27103",Adventure & Amusement Park, (336) 638-1078,https://surgefun.com/locations/winston-salem/,1,1,NA,NA,NA,NA,1,36.06137708,-80.30935235
Surge Adventure Park,"3333 N Main St, Hope Mills, NC 28348",Adventure & Amusement Park,(910) 710-5162,https://surgefun.com/locations/fayetteville/,1,1,NA,NA,NA,NA,1,34.97884981,-78.95770633
Adventure Landing,1600 S Stratford Rd Winston Salem NC 27103,Adventure & Amusement Park,(919) 000-1111,www.adventurelanding.com,,1,,,,,,36.0724977,-80.30360237
